Address,Latitude,Longitude
"CHEF LIEU, 74470 BELLEVAUX",46.2571,6.5301
"3 BOULEVARD DU MAIL, 01300 BELLEY",45.7601,5.6861
"6 PLACE DE LA POSTE, 74540 ALBY SUR CHERAN",45.8181,6.0211
"38 AVENUE JEAN JAURES, 73500 MODANE",45.2011,6.6731
"53 AVENUE JEAN KUNTZMANN, 38330 MONTBONNOT ST MARTIN",45.2191,5.8011
"2 AVENUE DU STADE, 74960 ANNECY",45.9002,6.1162
"98 AVENUE DU COLLEGE, 38230 CHARVIEU CHAVAGNEUX",45.7421,5.1611
"PLACE DE LA MAIRIE, 73480 BESSANS",45.3211,6.9931
"FAUBOURG DES ALLOBROGES, 74890 BONS EN CHABLAIS",46.2651,6.3711
"14 RUE BERNARD, 01000 BOURG EN BRESSE",46.2054,5.2254
"3 AVENUE AMEDEE MERCIER, 01000 BOURG EN BRESSE",46.2055,5.2255
"45 AVENUE MAGINOT, 01000 BOURG EN BRESSE",46.2056,5.2256
"9002 RUE JULES FERRAND, 26290 DONZERE",44.4441,4.7101
"1 PLACE CHAUSY, 26130 ST PAUL TROIS CHATEAUX",44.3481,4.7681
"380 AVENUE DES THERMES, 38410 ST MARTIN D URIAGE",45.1501,5.8361
"41 AVENUE DES CARRES, 74940 ANNECY",45.9003,6.1163
"12 RUE DE LA LIBERTE, 74330 EPAGNY METZ TESSY",45.9381,6.0961
"2605 AVENUE AMEDEE MERCIER, 01000 BOURG EN BRESSE",46.2057,5.2257
"RUE DU GRAND CLOS, 73700 BOURG ST MAURICE",45.6171,6.7691
"72 AVENUE DU CENTENAIRE, 73700 BOURG ST MAURICE",45.6172,6.7692
"9 ALLEE SAMIVEL, 73490 LA RAVOIRE",45.5571,5.9651
"23 RUE DE LA POSTE, 01360 BELIGNEUX",45.8621,5.1271
"RUE JEROME LALANDE, 01250 CEYZERIAT",46.1821,5.3231
"44 RUE CHARLES MONTREUIL, 73000 CHAMBERY",45.5641,5.9171
"9 PASSAGE DES HALLES, 74960 ANNECY",45.9004,6.1164
"SQUARE PAUL VIDAL, 73000 CHAMBERY",45.5642,5.9172
"5203 PLACE DE LA MAIRIE, 07470 COUCOURON",44.8041,3.9311
"140 RUE DE LA POSTE, 74380 CRANVES SALES",46.1871,6.2921
"964 ROUTE DES TATTES DE BORLY, 74380 CRANVES SALES",46.1872,6.2922
"14 AVENUE DES EBEAUX, 74350 CRUSEILLES",46.0351,6.1081
"5806 PLACE DE LA PALLUD, 74540 CUSY",45.7641,6.0211
"PLACE DE L EGLISE, 26790 SUZE LA ROUSSE",44.2881,4.8381
"9501 AVENUE NOTRE DAME, 07700 BOURG ST ANDEOL",44.3711,4.6461
"138 AVENUE DU PAVILLON, 38560 CHAMP SUR DRAC",45.0821,5.7341
"4 AVENUE DU COLONEL MANHES, 38130 ECHIROLLES",45.1431,5.7141
"2 ROUTE DE LA SALLE, 74960 ANNECY",45.9005,6.1165
"3 PLACE DE L ETALE, 74960 ANNECY",45.9006,6.1166
"391 RUE DE LA POSTE, 74210 DOUSSARD",45.7761,6.2201
"106 AVENUE DE LA GARE, 74190 ST GERVAIS LES BAINS",45.8921,6.7121
"53 AVENUE DE MIAGE, 74170 ST GERVAIS LES BAINS",45.8922,6.7122
"89 PLACE BALMAT, 74400 CHAMONIX MONT BLANC",45.9231,6.8691
"17 AVENUE DU 8 MAI 1945, 38130 ECHIROLLES",45.1432,5.7142
"16 AVENUE DU GENERAL CHAMPON, 38000 GRENOBLE",45.1881,5.7241
"66 RUE ASGHIL FAVRE, 74210 FAVERGES SEYTHENEX",45.7461,6.2951
"815 GRANDE RUE, 01570 FEILLENS",46.3351,4.8961
"RUE EMILE MACHET, 73350 BOZEL",45.4431,6.6491
"115 PLACE DE L HOTEL DE VILLE, 74130 BONNEVILLE",46.0781,6.4081
"5335 GRANGE NEUVE, 73460 FRONTENEX",45.6371,6.3091
"144 ROUTE D ALBERTVILLE, 74210 GIEZ",45.7531,6.2461
"89 AVENUE DU 8 MAI 1945, 73600 MOUTIERS TARENTAISE",45.4851,6.5331
"16 PLACE SAINT BRUNO, 38000 GRENOBLE",45.1882,5.7242
"19 rue des déportés du 11 novembre 1943, 38100 GRENOBLE",45.1883,5.7243
"435 RUE SAINT ELOI, 73100 GRESY SUR AIX",45.7331,5.9181
"QUARTIER DAGASSE, 26230 GRIGNAN",44.4201,4.9081
"RESIDENCE CLOS GUEVIN, 74540 GRUFFY",45.7871,6.0551
"208 PLACE DE LIMELETTE, 01480 JASSANS RIOTTIER",45.9861,4.7571
"139 PLACE DE LA LIBERATION, 38140 RIVES SUR FURE",45.3521,5.5031
"83 MAIL MARCEL CACHIN, 38600 FONTAINE",45.1951,5.6881
"5834 RUE DE LA CROISETTE, 73120 COURCHEVEL",45.4141,6.6341
"30 AVENUE DE LA LIBERATION, 74300 CLUSES",46.0601,6.5791
"190 RUE DES BLACHES, 38530 LA BUISSIERE",45.3971,5.9771
"10 PLACE CHARLES DE GAULLE, 74500 EVIAN LES BAINS",46.3991,6.5861
"430 CHEMIN DE LA CHARETTE, 73200 ALBERTVILLE",45.6743,6.3933
"1 PLACE DE LA POSTE, 74800 LA ROCHE SUR FORON",46.0661,6.3121
"17 ROUTE DE PARIS, 74330 LA BALME DE SILLINGY",45.9671,6.0351
"25 AVENUE DU PARMELAN, 74000 ANNECY",45.9007,6.1167
"4 GRANDE RUE, 74930 REIGNIER ESERY",46.1071,6.2691
"450 AVENUE JEAN MORIN, 74800 LA ROCHE SUR FORON",46.0662,6.3122
"94 RUE AIME ET EUGENIE COTTON, 73540 LA BATHIE",45.6281,6.4491
"RUE DE LA POSTE, 73490 LA RAVOIRE",45.5572,5.9652
"5058 RUE DU LAVOUR, 73480 VAL CENIS",45.2751,6.9031
"9001 ALLEE BERNARD GANGLOFF, 26000 VALENCE",44.9332,4.8922
"8 RUE DE L EPINE, 73160 COGNIN",45.5611,5.8971
"8 RUE CHARLES DE GAULLE, 74150 RUMILLY",45.8671,5.9451
"16 PLACE DE LA POSTE, 74570 FILLIERE",45.9871,6.2461
"126 RUE DES TOURTES ZI LA PALISSE, 07160 LE CHEYLARD",44.9051,4.4221
"LES ARCS 1800, 73700 BOURG ST MAURICE",45.6173,6.7693
"5817 LES MENUIRES, 73440 LES BELLEVILLE",45.3801,6.5051
"RUE DU FERVEILLEY / 95 RUE DU SERVEILLEY, 38250 VILLARD DE LANS",45.0711,5.5531
"LE PONT, 73340 LESCHERAINES",45.7071,6.1051
"PLACE DES REMPARTS, 74470 LULLIN",46.2821,6.5241
"69 COURS DE VERDUN, 01100 OYONNAX",46.2571,5.6561
"80 RUE DU PRE NEUF - ZAC DES VIADUCS, 01120 LA BOISSE",45.8421,5.0341
"3 RUE DU BESSET, 38390 MONTALIEU VERCIEU",45.8151,5.4021
"11 GRAND RUE, 38610 GIERES",45.1811,5.7921
"278 AVENUE JOLIOT CURIE, 38920 CROLLES",45.2841,5.8841
"3 RUE ALFRED DE MUSSET / 2 rue du village, 38100 GRENOBLE",45.1884,5.7244
"6 PLACE DE L EGLISE, 01090 MONTMERLE SUR SAONE",46.0821,4.7641
"9 PLACE DU 3 SEPTEMBRE, 01340 MONTREVEL EN BRESSE",46.3371,5.1381
"AVENUE  DE MACON, 01340 MONTREVEL EN BRESSE",46.3372,5.1382
"2 LE HAMEAU LES TILLEULS LOT NA / ALLEE DES TILLEULS, 26600 PONT DE L ISERE",45.0041,4.8691
"PLACE DU CHAMP DE FOIRE, 74360 ABONDANCE",46.2811,6.7221
"281 ROUTE DE THONON, 74390 CHATEL",46.2671,6.8401
"71 AVENUE DE GENEVE, 74000 ANNECY",45.9008,6.1168
"370 avenue des Raches, 74190 PASSY",45.9231,6.6871
"AVENUE JEAN PERRIN, 26700 PIERRELATTE",44.3781,4.6971
"22 AVENUE DE L EUROPE, 07100 ANNONAY",45.2412,4.6672
"6167 RUE DE TARTAVEL, 07430 DAVEZIEUX",45.2551,4.7061
"AVENUE GEORGES CLEMENCEAU, 73800 MONTMELIAN",45.5021,6.0561
"RUE DU CHAUDRON, 26700 PIERRELATTE",44.3782,4.6972
"1080 AVENUE DU GRAND ARIETAZ, 73000 CHAMBERY",45.5643,5.9173
"53 PLACE DE L EGLISE, 74330 POISY",45.9221,6.0641
"77 RUE MAL DE LATTRE DE TASSIGNY, 01190 PONT DE VAUX",46.4311,4.9381
"18 RUE DE LA POSTE, 01290 PONT DE VEYLE",46.2631,4.8871
"19 PLACE GEORGES BOILEAU, 74370 ANNECY",45.9009,6.1169
"PLACE ARMAND PUGNOT, 38340 VOREPPE",45.2981,5.6371
"610 RUE DE LA REPUBLIQUE, 38140 RENAGE",45.3291,5.4851
"3 PLACE DE LA LIBERATION, 74160 ST JULIEN EN GENEVOIS",46.1441,6.0821
"1230 RUE DU GENERAL DE GAULLE, 74700 SALLANCHES",45.9361,6.6301
"20 PLACE SAINT JEAN, 74600 ANNECY",45.9010,6.1170
"3 BOULEVARD GAMBETTA, 38160 ST MARCELLIN",45.1541,5.3211
"34 ALLEE DE L ATRIUM, 74250 VILLE EN SALLAZ",46.1461,6.4211
"194 AVENUE DU LEMAN, 74380 BONNE",46.1681,6.3211
"se, 38300 BOURGOIN JALLIEU",45.5861,5.2771
"200 RUE DES BARILLETTES, 73230 ST ALBAN LEYSSE",45.5781,5.9391
"5 PLACE DES MILLIERES, 01390 ST ANDRE DE CORCY",45.9261,4.9521
"91 bis BOULEVARD MICHEL PERRET, 38210 TULLINS",45.2971,5.4831
"23 RUE DU CENTRE, 01140 ST DIDIER SUR CHALARONNE",46.1771,4.8181
"2 RUE DE LA CONTAMINE, 38120 ST EGREVE",45.2311,5.6831
"190 RUE CENTRALE, 01370 ST ETIENNE DU BOIS",46.2881,5.3241
"PLACE FODERE, 73300 ST JEAN DE MAURIENNE",45.2751,6.3451
"116 RUE DU FAUCIGNY, 74490 ST JEOIRE EN FAUCIGNY",46.1381,6.4601
"14 RUE DE MAYENCIN, 38400 ST MARTIN D HERES",45.1661,5.7631
"9 RUE DU TEMPLE, 07160 LE CHEYLARD",44.9052,4.4222
"8 AVENUE DES CEVENNES, 07320 ST AGREVE",45.0061,4.3981
"PLACE FERNAND RUDE, 01560 ST TRIVIER DE COURTES",46.4591,5.0761
"5040 RUE DE LA ROSIERE, 26560 SEDERON",44.2051,5.5381
"RUE PRINCIPALE, 38570 TENCIN",45.3081,5.9611
"23 RUE DE L EGLISE, 01140 THOISSEY",46.1711,4.8011
"IMMEUBLE LE BEC ROUGE, 73320 TIGNES",45.4681,6.9081
"5 QUAI FARCONNET, 07300 TOURNON SUR RHONE",45.0671,4.8321
"3 CHEMIN DE CHAMPAGNE, 07300 TOURNON SUR RHONE",45.0672,4.8322
"RUE DE L EGLISE, 73400 UGINE",45.7531,6.4191
"5066 VAL VILLAGE, 73150 VAL D ISERE",45.4481,6.9801
"84 RUE DE LA GARE, 74520 VALLEIRY",46.1081,5.9691
"114 ROUTE DEMOISIN, 07470 COUCOURON",44.8042,3.9312
"11 RUE DE L EUROPE, 74200 THONON LES BAINS",46.3711,6.4781
"ROUTE NATIONALE, 73450 VALLOIRE",45.1651,6.4291
"30 AVENUE JOLIOT CURIE, 38760 VARCES ALLIERES ET RISSET",45.0842,5.6842
"CHEMIN BLOSSONNIER, 74140 VEIGY FONCENEX",46.2751,6.2581
"124 ROUTE DES GRANDS CHAMPS SUD, 74580 VIRY",46.1181,6.0381
"8 PLACE JULES MERCIER, 74200 THONON LES BAINS",46.3712,6.4782
"10 SQUARE PAOLI, 38290 LA VERPILLIERE",45.6321,5.1431
"20 RUE EMILE ZOLA, 38090 VILLEFONTAINE",45.6131,5.1481
"4 RUE DES GLIERES, 74000 ANNECY",45.9011,6.1171
"4 AVENUE DU VERCORS, 38240 MEYLAN",45.2131,5.7791
"5 PLACE SAINT ROMME, 38940 ROYBON",45.2591,5.2031
"18 RUE DE SAVOIE, 38070 ST QUENTIN FALLAVIER",45.6311,5.1111
"RUE MARCHANDE, 38790 ST GEORGES D ESPERANCHE",45.5561,5.0751
"72 RUE AIME PINEL, 38230 PONT DE CHERUY",45.7481,5.1761
"RUE DES AUBEPINES, 38230 PONT DE CHERUY",45.7482,5.1762
"GRANDE RUE, 01470 SERRIERES DE BRIORD",45.8071,5.4041
"PLACE DE LA MAIRIE, 01680 LHUIS",45.7481,5.5341
"226 AVENUE DE LA GARE, 01120 MONTLUEL",45.8511,5.0561
"828 RUE DE LA CRAZ, 01120 DAGNEUX",45.8451,5.0751
"5472 FOLLIETS BAT ARC EN CIEL, 01700 ST MAURICE DE BEYNOST",45.8281,4.9751
"7 PLACE LIEUTENANT GIRAUD, 01800 MEXIMIEUX",45.9031,5.1951
"RUE DES GRANGES, 01800 MEXIMIEUX",45.9032,5.1952
"14 RUE FRANCOIS BLUMET, 38360 SASSENAGE",45.2061,5.6631
"181 AVENUE FRANCOIS MITTERRAND, 38670 CHASSE SUR RHONE",45.5801,4.8011
"5020 ROUTE DE MARENNES, 38200 VILLETTE DE VIENNE",45.5901,4.8711
"9001 PLACE DU CHAMP DE MARS, 07200 AUBENAS",44.6201,4.3901
"44 RUE DE L AGUYANE, 07200 AUBENAS",44.6202,4.3902
"MONTEE DE LA CROISETTE, 07530 ANTRAIGUES SUR VOLANE",44.7181,4.3581
"430 RUE DES TANINS, 07380 LALEVADE D ARDECHE",44.6481,4.2981
"5291 HLM CHAMONDIN, 07380 LALEVADE D ARDECHE",44.6482,4.2982
"5279 PL  PUBLIQUE, 07200 ST PRIVAT",44.6281,4.4141
"75 RUE JEAN JAURES, 07600 VALS LES BAINS",44.6641,4.3661
"PLACE DE LA POSTE, 07380 JAUJAC",44.6371,4.2561
"6000 QUARTIER LA PRADE, 07560 MONTPEZAT SOUS BAUZON",44.7131,4.2071
"5929 ROUTE D ALES, 07200 ST ETIENNE DE FONTBELLON",44.6021,4.3851
"PLACE DU CHAMP DE MARS, 07330 THUEYTS",44.6761,4.2211
"5069 LE VILLAGE, 07110 VALGORGE",44.5881,4.1261
"6028 PRAT DE LA VEUVE, 07260 JOYEUSE",44.4791,4.2401
"5841 LA JAUJON, 07230 LABLACHERE",44.4561,4.2151
"5455 PLACE DE L EGLISE, 07460 ST PAUL LE JEUNE",44.3391,4.1531
"6 PLACE DE L ANCIENNE GARE, 07150 VALLON PONT D ARC",44.4061,4.3971
"645 ROUTE DES VERNADES , 07260 ROSIERES",44.4821,4.2581
"2 AVENUE DU GENERAL DE GAULLE, 07140 LES VANS",44.4051,4.1311
"5852 PLACE DE LA POSTE, 07110 LARGENTIERE",44.5421,4.2931
"103 ROUTE NATIONALE, 07360 LES OLLIERES SUR EYRIEUX",44.8071,4.6241
"51 RUE NATIONALE, 07170 VILLENEUVE DE BERG",44.5571,4.5021
"10 IMPASSE DE LA CARIO, 07200 VOGUE",44.5511,4.4121
"513 RUE PIERRE POIVRE, 01330 VILLARS LES DOMBES",46.0021,5.0281
"PLACE DU MARCHE, 01320 CHALAMONT",45.9961,5.2711
"240 RUE GOMBETTE, 01330 AMBERIEUX EN DOMBES",45.9271,4.9081
"276 RUE DE LA POSTE, 74120 MEGEVE",45.8561,6.6171
"1 AVENUE VOLTAIRE, 01210 FERNEY VOLTAIRE",46.2551,6.1081
"7 RUE LOUIS ARMAND, 74000 ANNECY",45.9012,6.1172
"6 BOULEVARD DES COMBATTANTS, 01600 TREVOUX",45.9401,4.7731
"270 AVENUE RAYMOND SARBACH, 01140 CHATILLON SUR CHALARONNE",46.1201,4.9571
"AVENUE DE PROVENCE / SQUARE DU CHAMP DE MARS , 26420 LA CHAPELLE EN VERCORS",44.9681,5.4161
"29 AVENUE ANDRE CITROEN, 01500 AMBERIEU EN BUGEY",45.9591,5.3581
"GRANDE RUE, 38680 PONT EN ROYANS",45.0621,5.3421
"104 AVENUE DE BRESSE, 01460 MONTREAL LA CLUSE",46.1861,5.5711
"38 RUE ALEXANDRE BERARD, 01500 AMBERIEU EN BUGEY",45.9592,5.3582
"142 GRAND RUE, 38650 MONESTIER DE CLERMONT",44.9151,5.6351
"433 RUE DE LA GARE, 01150 LAGNIEU",45.9031,5.3481
"11 BIS ROUTE DU PORT, 01150 LAGNIEU",45.9032,5.3482
"50 RUE CLAUDE MOREL, 01540 VONNAS",46.2181,4.9861
"8 RUE LOUISE DE SAVOIE, 01160 PONT D AIN",46.0821,5.3371
"15 AVENUE DU DOCTEUR TAGNARD, 38350 LA MURE D ISERE",44.9032,5.7842
"20 AVENUE DU GENERAL SARRAIL, 01500 AMBERIEU EN BUGEY",45.9593,5.3583
"18 AVENUE DE BRESSE, 01460 MONTREAL LA CLUSE",46.1862,5.5712
"350 RUE DE LA REPUBLIQUE, 01110 PLATEAU D HAUTEVILLE",45.9761,5.5991
"26 RUE DE L HOTEL DE VILLE, 01130 NANTUA",46.1521,5.6071
"7 LOTISSEMENT DE LA RINE, 38770 LA MOTTE D AVEILLANS",44.9611,5.7451
"PLACE PIERRE CHABERT, 38250 VILLARD DE LANS",45.0712,5.5532
"98 RUE ANATOLE FRANCE, 01100 OYONNAX",46.2572,5.6562
"41 PLACE DU MARCHE, 01660 MEZERIAT",46.2411,5.0481
"537 GRANDE RUE, 01580 IZERNORE",46.2201,5.5561
"RUE DU DOCTEUR SENEBIER, 38710 MENS",44.8181,5.7511
"RUE DE LA GRENETTE, 01230 ST RAMBERT EN BUGEY",45.9491,5.4381
"ALLEE DE LA GRANGE MAGNIEN, 01960 PERONNAS",46.1791,5.2021
"1 AVENUE DU PARC, 01450 PONCIN",46.0851,5.4051
"3 PLACE DU PONT, 01230 TENAY",45.9201,5.5091
"4 PLACE ALEXANDRE BERARD, 01500 ST DENIS EN BUGEY",45.9521,5.3281
"2 RUE DE LA REPUBLIQUE, 38450 VIF",45.0551,5.6691
"PLACE DE L EGLISE, 73410 ENTRELACS",45.7871,5.9431
"31 Le grand passage, 73100 AIX LES BAINS",45.6881,5.9121
"5212 RUE SUR LA VILLE, 07100 BOULIEU LES ANNONAY",45.2711,4.6731
"5 AVENUE VICTOR HUGO, 38130 ECHIROLLES",45.1433,5.7143
"39 BOULEVARD DES ALPES, 38240 MEYLAN",45.2132,5.7792
"11 AVENUE DU GRAND PORT, 73100 AIX LES BAINS",45.6882,5.9122
"191 RUE PAUL CORBIN, 74190 PASSY",45.9232,6.6872
"168 RUE DU BOSQUET DES CHENES, 07430 DAVEZIEUX",45.2552,4.7062
"RUE CHATAGNON, 38430 MOIRANS",45.3251,5.5641
"RUE EMILE BLANC, 38420 DOMENE",45.2021,5.8391
"100 A ALLEE SAINT EXUPERY, 38330 MONTBONNOT ST MARTIN",45.2192,5.8012
"43 AVENUE DE GENEVE, 74700 SALLANCHES",45.9362,6.6302
"5001 PLACE DES GAUDS, 07290 SATILLIEU",45.1501,4.6141
"QUAI JULES ROCHE, 07340 SERRIERES",45.3181,4.7631
"5390 LE VILLAGE, 07410 ST FELICIEN",45.0851,4.6271
"10 RUE CENTRALE, 07300 ST JEAN DE MUZOLS",45.0811,4.8141
"RUE DE CORPORAT, 38430 MOIRANS",45.3252,5.5642
"72 GRANDE RUE, 73220 VAL D ARC",45.5681,6.3191
"304 RUE DE CORPORAT, 38430 MOIRANS",45.3253,5.5643
"10 GALERIE DE LA CHARTREUSE, 73000 BARBERAZ",45.5581,5.9451
"2 RUE DE L HERBERIE, 73000 CHAMBERY",45.5644,5.9174
"171 RUE ORADOUR SUR GLANE, 73000 CHAMBERY",45.5645,5.9175
"PLACE PIERRE DU TERRAIL, 38530 PONTCHARRA",45.4331,6.0151
"11 RUE DE L EGLISE, 74970 MARIGNIER",46.0911,6.4981
"PLACE DE L EGLISE, 73200 GILLY SUR ISERE",45.6591,6.3531
"2 RUE MALLEVAL, 38470 VINAY",45.2101,5.4041
"5 AVENUE DE LA CHANTOURNE, 38190 VILLARD BONNOT",45.2391,5.8981
"14 GRANDE RUE, 26390 HAUTERIVES",45.2541,5.0261
"IMPASSE DU RACLE, 38520 LE BOURG D OISANS",45.0541,6.0301
"PLACE ALBERT REY, 73110 VALGELON LA ROCHETTE",45.4591,6.1151
"RUE DE PREPONTIN, 38660 LE TOUVET",45.3581,5.9481
"373 ROUTE DES BRUYERES, 38140 RIVES SUR FURE",45.3522,5.5032
"PLACE JEAN JAURES, 38210 TULLINS",45.2972,5.4832
"14 RUE ROUSSILLON, 26600 LA ROCHE DE GLUN",45.0111,4.8471
"5 COURS DU PLANCENAY, 73230 ST ALBAN LEYSSE",45.5782,5.9392
"ROUTE D APREMONT, 73190 ST BALDOPH",45.5391,5.9521
"5028 AVENUE GEORGE BERT, 26260 ST DONAT SUR L HERBASSE",45.1231,4.9821
"39 AVENUE ARISTIDE BRIAND, 38520 BOURG D'OISANS",45.0542,6.0302
"48 AVENUE DE LA MUZELLE, 38860 LES DEUX ALPES",45.0061,6.1211
"14 PLACE DU 8 MAI 1945, 26140 ST RAMBERT D ALBON",45.2951,4.8191
"2 PLACE AUGUSTE DELAYE, 26240 ST VALLIER",45.1781,4.8161
"5097 SAINTE HELENE, 73460 STE HELENE SUR ISERE",45.6141,6.3191
"9001 PLACE DU 8 MAI 1945 / IMPASSE DES ROSIERS, 26600 TAIN L HERMITAGE",45.0711,4.8441
"5197 ROUTE DE LA POSTE, 38750 HUEZ",45.0811,6.0611
"490 ROUTE DES FONDERIES ROYALES, 38114 ALLEMOND",45.1291,6.0381
"1 AVENUE DE LA GARE, 26300 ALIXAN",44.9741,5.0261
"5 RUE DE LA ROSERAIE, 01350 CULOZ",45.8471,5.7821
"GRANDE RUE JEAN JAURES, 26300 BOURG DE PEAGE",45.0371,5.0501
"AVENUE DE LYON, 26500 BOURG LES VALENCE",44.9451,4.8961
"2 AVENUE JULES RAVAT, 38500 VOIRON",45.3621,5.5901
"5058 ROUTE DU GOUBET, 26300 CHATUZANGE LE GOUBET",45.0061,5.0921
"30 RUE DES MARRONNIERS, 74100 AMBILLY",46.1941,6.2231
"1 PLACE DE LA POSTE, 74100 ANNEMASSE",46.1952,6.2362
"PLACE DE BOIGNE LA SAVIERES, 73310 CHANAZ",45.8081,5.7911
"ROUTE D AIX LES BAINS, 73310 CHINDRIEUX",45.8211,5.8501
"54 PLACE DE SAVOIE, 74160 COLLONGES SOUS SALEVE",46.1401,6.1471
"24 RUE DE LA LIBERATION, 74240 GAILLARD",46.1851,6.2081
"12 AV DR CHARLES GABRIEL PRAVAZ, 38480 LE PONT DE BEAUVOISIN",45.5351,5.6661
"PLACE GENERAL BUISSON, 73370 LE BOURGET DU LAC",45.6481,5.8601
"154 CHEMIN DE VEYRIER, 74100 ETREMBIERES",46.1771,6.2261
"42 RUE DE LA REPUBLIQUE, 38490 LES ABRETS EN DAUPHINE",45.5361,5.5861
"57 RUE RENE CASSIN, 74150 RUMILLY",45.8672,5.9452
"RUE GILBERT MARIE, 73300 LA TOUR EN MAURIENNE",45.2901,6.3501
"183 RUE EN BRACHAY, 01350 culoz",45.8472,5.7822
"RUE DES FILOCHES, 26730 HOSTUN",45.0401,5.1971
"PLACE DE LA RESISTANCE, 73520 LA BRIDOIRE",45.5261,5.7421
"SAVOIE TECHNOLAC, 73370 LE BOURGET DU LAC",45.6482,5.8602
"1 IMPASSE DU MOLE, 74100 VILLE LA GRAND",46.2011,6.2481
"1035 RUE PRINCIPALE, 38850 CHARAVINES",45.4281,5.5161
"LE BOURG, 38620 ST GEOIRE EN VALDAINE",45.4561,5.6351
"PLACE BEATRICE DE SAVOIE, 73360 LES ECHELLES",45.4361,5.7551
"9 PLACE MAURICE FRONT, 73550 LES ALLUES",45.4301,6.5561
"2 RUE DU VIEUX FOUR, 26540 MOURS ST EUSEBE",45.0711,5.0511
"AVENUE JEAN JAURES, 73330 LE PONT DE BEAUVOISIN",45.5352,5.6662
"9001 AVENUE DU MAQUIS, 26100 ROMANS SUR ISERE",45.0462,5.0562
"RUE EUGENE CHAVANT, 26100 ROMANS SUR ISERE",45.0463,5.0563
"PLACE HONORE D'URFE, 01510 VIRIEU LE GRAND",45.8491,5.6511
"ROUTE DES GALBITS, 38850 CHIRENS",45.4141,5.5561
"AVENUE DE LA GARE, 26190 ST JEAN EN ROYANS",45.0171,5.2931
"AVENUE DE PROVENCE, 26320 ST MARCEL LES VALENCE",44.9711,4.9561
"RUE DE VILLARENCEL, 73440 LES BELLEVILLE",45.3802,6.5052
"1020 ROUTE DE GRENOBLE, 38500 COUBLEVIE",45.3581,5.6171
"LA GARE, 38840 ST HILAIRE DU ROSIER",45.1011,5.2501
"25 AVENUE DE LA REPUBLIQUE, 73140 ST MICHEL DE MAURIENNE",45.2181,6.4741
"28 RUE GUSTAVE EIFFEL, 38000 GRENOBLE",45.1885,5.7245
"2 RUE DU 11 NOVEMBRE 1918, 26760 BEAUMONT LES VALENCE",44.8601,4.9411
"2 PLACE DU GENERAL DE GAULLE, 26120 CHABEUIL",44.8991,5.0201
"5001 AVENUE JULES FERRY, 38380 ST LAURENT DU PONT",45.3871,5.7351
"281 AVENUE D ANNECY, 73000 CHAMBERY",45.5646,5.9176
"521 FAUBOURG MONTMELIAN, 73000 CHAMBERY",45.5647,5.9177
